Team,Team_standardized
Team,Team
San Antonio Spurs,San Antonio Spurs
Sacramento Kings,Sacramento Kings
Utah Jazz,Utah Jazz
Philadelphia 76ers,Philadelphia 76ers
Portland Trail Blazers,Portland Trail Blazers
Dallas Mavericks,Dallas Mavericks
Milwaukee Bucks,Milwaukee Bucks
Los Angeles Lakers,Los Angeles Lakers
New York Knicks,New York Knicks
Miami Heat,Miami Heat
Toronto Raptors,Toronto Raptors
Houston Rockets,Houston Rockets
Charlotte Hornets,Charlotte Hornets
Phoenix Suns,Phoenix Suns
Minnesota Timberwolves,Minnesota Timberwolves
Orlando Magic,Orlando Magic
Seattle SuperSonics,Seattle SuperSonics
Indiana Pacers,Indiana Pacers
Detroit Pistons,Detroit Pistons
Boston Celtics,Boston Celtics
Denver Nuggets,Denver Nuggets
Los Angeles Clippers,Los Angeles Clippers
Cleveland Cavaliers,Cleveland Cavaliers
New Jersey Nets,New Jersey Nets
Atlanta Hawks,Atlanta Hawks
Vancouver Grizzlies,Vancouver Grizzlies
Washington Wizards,Washington Wizards
Golden State Warriors,Golden State Warriors
Chicago Bulls,Chicago Bulls
League Average,League Average
Team,Team
Sacramento Kings,Sacramento Kings
Los Angeles Lakers,Los Angeles Lakers
San Antonio Spurs,San Antonio Spurs
New Jersey Nets,New Jersey Nets
Dallas Mavericks,Dallas Mavericks
Minnesota Timberwolves,Minnesota Timberwolves
Portland Trail Blazers,Portland Trail Blazers
Seattle SuperSonics,Seattle SuperSonics
Boston Celtics,Boston Celtics
Detroit Pistons,Detroit Pistons
Philadelphia 76ers,Philadelphia 76ers
Orlando Magic,Orlando Magic
Utah Jazz,Utah Jazz
Charlotte Hornets,Charlotte Hornets
Indiana Pacers,Indiana Pacers
Milwaukee Bucks,Milwaukee Bucks
Los Angeles Clippers,Los Angeles Clippers
Toronto Raptors,Toronto Raptors
Phoenix Suns,Phoenix Suns
Washington Wizards,Washington Wizards
Miami Heat,Miami Heat
Cleveland Cavaliers,Cleveland Cavaliers
New York Knicks,New York Knicks
Atlanta Hawks,Atlanta Hawks
Houston Rockets,Houston Rockets
Golden State Warriors,Golden State Warriors
Denver Nuggets,Denver Nuggets
Memphis Grizzlies,Memphis Grizzlies
Chicago Bulls,Chicago Bulls
League Average,League Average
Team,Team
Dallas Mavericks,Dallas Mavericks
Sacramento Kings,Sacramento Kings
San Antonio Spurs,San Antonio Spurs
New Jersey Nets,New Jersey Nets
Detroit Pistons,Detroit Pistons
Indiana Pacers,Indiana Pacers
Portland Trail Blazers,Portland Trail Blazers
Utah Jazz,Utah Jazz
Los Angeles Lakers,Los Angeles Lakers
Philadelphia 76ers,Philadelphia 76ers
Minnesota Timberwolves,Minnesota Timberwolves
New Orleans Hornets,New Orleans Hornets
Houston Rockets,Houston Rockets
Phoenix Suns,Phoenix Suns
Orlando Magic,Orlando Magic
Milwaukee Bucks,Milwaukee Bucks
Seattle SuperSonics,Seattle SuperSonics
Boston Celtics,Boston Celtics
Washington Wizards,Washington Wizards
Golden State Warriors,Golden State Warriors
New York Knicks,New York Knicks
Memphis Grizzlies,Memphis Grizzlies
Atlanta Hawks,Atlanta Hawks
Los Angeles Clippers,Los Angeles Clippers
Chicago Bulls,Chicago Bulls
Miami Heat,Miami Heat
Toronto Raptors,Toronto Raptors
Denver Nuggets,Denver Nuggets
Cleveland Cavaliers,Cleveland Cavaliers
League Average,League Average
Team,Team
San Antonio Spurs,San Antonio Spurs
Detroit Pistons,Detroit Pistons
Indiana Pacers,Indiana Pacers
Minnesota Timberwolves,Minnesota Timberwolves
Sacramento Kings,Sacramento Kings
Dallas Mavericks,Dallas Mavericks
Los Angeles Lakers,Los Angeles Lakers
New Jersey Nets,New Jersey Nets
Memphis Grizzlies,Memphis Grizzlies
Houston Rockets,Houston Rockets
Denver Nuggets,Denver Nuggets
Milwaukee Bucks,Milwaukee Bucks
Miami Heat,Miami Heat
New Orleans Hornets,New Orleans Hornets
Seattle SuperSonics,Seattle SuperSonics
Golden State Warriors,Golden State Warriors
Portland Trail Blazers,Portland Trail Blazers
Utah Jazz,Utah Jazz
Boston Celtics,Boston Celtics
New York Knicks,New York Knicks
Philadelphia 76ers,Philadelphia 76ers
Cleveland Cavaliers,Cleveland Cavaliers
Toronto Raptors,Toronto Raptors
Phoenix Suns,Phoenix Suns
Los Angeles Clippers,Los Angeles Clippers
Atlanta Hawks,Atlanta Hawks
Washington Wizards,Washington Wizards
Chicago Bulls,Chicago Bulls
Orlando Magic,Orlando Magic
League Average,League Average
Team,Team
San Antonio Spurs,San Antonio Spurs
Phoenix Suns,Phoenix Suns
Miami Heat,Miami Heat
Dallas Mavericks,Dallas Mavericks
Houston Rockets,Houston Rockets
Detroit Pistons,Detroit Pistons
Seattle SuperSonics,Seattle SuperSonics
Memphis Grizzlies,Memphis Grizzlies
Sacramento Kings,Sacramento Kings
Denver Nuggets,Denver Nuggets
Minnesota Timberwolves,Minnesota Timberwolves
Chicago Bulls,Chicago Bulls
Boston Celtics,Boston Celtics
Cleveland Cavaliers,Cleveland Cavaliers
Indiana Pacers,Indiana Pacers
Washington Wizards,Washington Wizards
Philadelphia 76ers,Philadelphia 76ers
Los Angeles Clippers,Los Angeles Clippers
New Jersey Nets,New Jersey Nets
Toronto Raptors,Toronto Raptors
Golden State Warriors,Golden State Warriors
Orlando Magic,Orlando Magic
New York Knicks,New York Knicks
Milwaukee Bucks,Milwaukee Bucks
Los Angeles Lakers,Los Angeles Lakers
Portland Trail Blazers,Portland Trail Blazers
Utah Jazz,Utah Jazz
Charlotte Bobcats,Charlotte Bobcats
New Orleans Hornets,New Orleans Hornets
Atlanta Hawks,Atlanta Hawks
League Average,League Average
Team,Team
San Antonio Spurs,San Antonio Spurs
Detroit Pistons,Detroit Pistons
Dallas Mavericks,Dallas Mavericks
Phoenix Suns,Phoenix Suns
Memphis Grizzlies,Memphis Grizzlies
Miami Heat,Miami Heat
Los Angeles Lakers,Los Angeles Lakers
Cleveland Cavaliers,Cleveland Cavaliers
Indiana Pacers,Indiana Pacers
Washington Wizards,Washington Wizards
Sacramento Kings,Sacramento Kings
Los Angeles Clippers,Los Angeles Clippers
New Jersey Nets,New Jersey Nets
Chicago Bulls,Chicago Bulls
Denver Nuggets,Denver Nuggets
Milwaukee Bucks,Milwaukee Bucks
Orlando Magic,Orlando Magic
Golden State Warriors,Golden State Warriors
Houston Rockets,Houston Rockets
Boston Celtics,Boston Celtics
Minnesota Timberwolves,Minnesota Timberwolves
Philadelphia 76ers,Philadelphia 76ers
Utah Jazz,Utah Jazz
New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City Hornets
Toronto Raptors,Toronto Raptors
Seattle SuperSonics,Seattle SuperSonics
Charlotte Bobcats,Charlotte Bobcats
Atlanta Hawks,Atlanta Hawks
New York Knicks,New York Knicks
Portland Trail Blazers,Portland Trail Blazers
League Average,League Average
Team,Team
San Antonio Spurs,San Antonio Spurs
Dallas Mavericks,Dallas Mavericks
Phoenix Suns,Phoenix Suns
Chicago Bulls,Chicago Bulls
Houston Rockets,Houston Rockets
Detroit Pistons,Detroit Pistons
Cleveland Cavaliers,Cleveland Cavaliers
Utah Jazz,Utah Jazz
Denver Nuggets,Denver Nuggets
Toronto Raptors,Toronto Raptors
Orlando Magic,Orlando Magic
Los Angeles Lakers,Los Angeles Lakers
Golden State Warriors,Golden State Warriors
Washington Wizards,Washington Wizards
Los Angeles Clippers,Los Angeles Clippers
New Jersey Nets,New Jersey Nets
Miami Heat,Miami Heat
New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City Hornets
Sacramento Kings,Sacramento Kings
Indiana Pacers,Indiana Pacers
Seattle SuperSonics,Seattle SuperSonics
New York Knicks,New York Knicks
Philadelphia 76ers,Philadelphia 76ers
Boston Celtics,Boston Celtics
Minnesota Timberwolves,Minnesota Timberwolves
Charlotte Bobcats,Charlotte Bobcats
Milwaukee Bucks,Milwaukee Bucks
Portland Trail Blazers,Portland Trail Blazers
Atlanta Hawks,Atlanta Hawks
Memphis Grizzlies,Memphis Grizzlies
League Average,League Average
Team,Team
Boston Celtics,Boston Celtics
Detroit Pistons,Detroit Pistons
Los Angeles Lakers,Los Angeles Lakers
Utah Jazz,Utah Jazz
Orlando Magic,Orlando Magic
New Orleans Hornets,New Orleans Hornets
San Antonio Spurs,San Antonio Spurs
Houston Rockets,Houston Rockets
Phoenix Suns,Phoenix Suns
Dallas Mavericks,Dallas Mavericks
Denver Nuggets,Denver Nuggets
Toronto Raptors,Toronto Raptors
Golden State Warriors,Golden State Warriors
Philadelphia 76ers,Philadelphia 76ers
Washington Wizards,Washington Wizards
Cleveland Cavaliers,Cleveland Cavaliers
Portland Trail Blazers,Portland Trail Blazers
Indiana Pacers,Indiana Pacers
Atlanta Hawks,Atlanta Hawks
Sacramento Kings,Sacramento Kings
Chicago Bulls,Chicago Bulls
Charlotte Bobcats,Charlotte Bobcats
New Jersey Nets,New Jersey Nets
Memphis Grizzlies,Memphis Grizzlies
New York Knicks,New York Knicks
Minnesota Timberwolves,Minnesota Timberwolves
Milwaukee Bucks,Milwaukee Bucks
Los Angeles Clippers,Los Angeles Clippers
Seattle SuperSonics,Seattle SuperSonics
Miami Heat,Miami Heat
League Average,League Average
Team,Team
Cleveland Cavaliers,Cleveland Cavaliers
Boston Celtics,Boston Celtics
Los Angeles Lakers,Los Angeles Lakers
Orlando Magic,Orlando Magic
Portland Trail Blazers,Portland Trail Blazers
Houston Rockets,Houston Rockets
San Antonio Spurs,San Antonio Spurs
Denver Nuggets,Denver Nuggets
Utah Jazz,Utah Jazz
Dallas Mavericks,Dallas Mavericks
Phoenix Suns,Phoenix Suns
Atlanta Hawks,Atlanta Hawks
New Orleans Hornets,New Orleans Hornets
Miami Heat,Miami Heat
Philadelphia 76ers,Philadelphia 76ers
Chicago Bulls,Chicago Bulls
Detroit Pistons,Detroit Pistons
Indiana Pacers,Indiana Pacers
Milwaukee Bucks,Milwaukee Bucks
Charlotte Bobcats,Charlotte Bobcats
New York Knicks,New York Knicks
New Jersey Nets,New Jersey Nets
Toronto Raptors,Toronto Raptors
Golden State Warriors,Golden State Warriors
Minnesota Timberwolves,Minnesota Timberwolves
Memphis Grizzlies,Memphis Grizzlies
Oklahoma City Thunder,Oklahoma City Thunder
Washington Wizards,Washington Wizards
Sacramento Kings,Sacramento Kings
Los Angeles Clippers,Los Angeles Clippers
League Average,League Average
Team,Team
Orlando Magic,Orlando Magic
Cleveland Cavaliers,Cleveland Cavaliers
Utah Jazz,Utah Jazz
San Antonio Spurs,San Antonio Spurs
Atlanta Hawks,Atlanta Hawks
Phoenix Suns,Phoenix Suns
Los Angeles Lakers,Los Angeles Lakers
Denver Nuggets,Denver Nuggets
Boston Celtics,Boston Celtics
Portland Trail Blazers,Portland Trail Blazers
Oklahoma City Thunder,Oklahoma City Thunder
Dallas Mavericks,Dallas Mavericks
Miami Heat,Miami Heat
Milwaukee Bucks,Milwaukee Bucks
Charlotte Bobcats,Charlotte Bobcats
Houston Rockets,Houston Rockets
Memphis Grizzlies,Memphis Grizzlies
Chicago Bulls,Chicago Bulls
Toronto Raptors,Toronto Raptors
New Orleans Hornets,New Orleans Hornets
Indiana Pacers,Indiana Pacers
Golden State Warriors,Golden State Warriors
New York Knicks,New York Knicks
Philadelphia 76ers,Philadelphia 76ers
Sacramento Kings,Sacramento Kings
Washington Wizards,Washington Wizards
Detroit Pistons,Detroit Pistons
Los Angeles Clippers,Los Angeles Clippers
Minnesota Timberwolves,Minnesota Timberwolves
New Jersey Nets,New Jersey Nets
League Average,League Average
Team,Team
Miami Heat,Miami Heat
Chicago Bulls,Chicago Bulls
Los Angeles Lakers,Los Angeles Lakers
San Antonio Spurs,San Antonio Spurs
Boston Celtics,Boston Celtics
Orlando Magic,Orlando Magic
Denver Nuggets,Denver Nuggets
Dallas Mavericks,Dallas Mavericks
Oklahoma City Thunder,Oklahoma City Thunder
Memphis Grizzlies,Memphis Grizzlies
Houston Rockets,Houston Rockets
Portland Trail Blazers,Portland Trail Blazers
Philadelphia 76ers,Philadelphia 76ers
New Orleans Hornets,New Orleans Hornets
New York Knicks,New York Knicks
Milwaukee Bucks,Milwaukee Bucks
Phoenix Suns,Phoenix Suns
Atlanta Hawks,Atlanta Hawks
Indiana Pacers,Indiana Pacers
Utah Jazz,Utah Jazz
Golden State Warriors,Golden State Warriors
Los Angeles Clippers,Los Angeles Clippers
Detroit Pistons,Detroit Pistons
Charlotte Bobcats,Charlotte Bobcats
Sacramento Kings,Sacramento Kings
New Jersey Nets,New Jersey Nets
Toronto Raptors,Toronto Raptors
Minnesota Timberwolves,Minnesota Timberwolves
Washington Wizards,Washington Wizards
Cleveland Cavaliers,Cleveland Cavaliers
League Average,League Average
Team,Team
Charlotte Bobcats,Charlotte Bobcats
Cleveland Cavaliers,Cleveland Cavaliers
New Jersey Nets,New Jersey Nets
Sacramento Kings,Sacramento Kings
Washington Wizards,Washington Wizards
Detroit Pistons,Detroit Pistons
New Orleans Hornets,New Orleans Hornets
Golden State Warriors,Golden State Warriors
Toronto Raptors,Toronto Raptors
Minnesota Timberwolves,Minnesota Timberwolves
Phoenix Suns,Phoenix Suns
Portland Trail Blazers,Portland Trail Blazers
Utah Jazz,Utah Jazz
Milwaukee Bucks,Milwaukee Bucks
Houston Rockets,Houston Rockets
Dallas Mavericks,Dallas Mavericks
Orlando Magic,Orlando Magic
Los Angeles Lakers,Los Angeles Lakers
Memphis Grizzlies,Memphis Grizzlies
Denver Nuggets,Denver Nuggets
Boston Celtics,Boston Celtics
Los Angeles Clippers,Los Angeles Clippers
Atlanta Hawks,Atlanta Hawks
Indiana Pacers,Indiana Pacers
New York Knicks,New York Knicks
Philadelphia 76ers,Philadelphia 76ers
Oklahoma City Thunder,Oklahoma City Thunder
Miami Heat,Miami Heat
San Antonio Spurs,San Antonio Spurs
Chicago Bulls,Chicago Bulls
League Average,League Average
Team,Team
Oklahoma City Thunder,Oklahoma City Thunder
Miami Heat,Miami Heat
Los Angeles Clippers,Los Angeles Clippers
San Antonio Spurs,San Antonio Spurs
Denver Nuggets,Denver Nuggets
New York Knicks,New York Knicks
Memphis Grizzlies,Memphis Grizzlies
Indiana Pacers,Indiana Pacers
Houston Rockets,Houston Rockets
Brooklyn Nets,Brooklyn Nets
Los Angeles Lakers,Los Angeles Lakers
Golden State Warriors,Golden State Warriors
Atlanta Hawks,Atlanta Hawks
Chicago Bulls,Chicago Bulls
Utah Jazz,Utah Jazz
Boston Celtics,Boston Celtics
Dallas Mavericks,Dallas Mavericks
Milwaukee Bucks,Milwaukee Bucks
Toronto Raptors,Toronto Raptors
Minnesota Timberwolves,Minnesota Timberwolves
Washington Wizards,Washington Wizards
Portland Trail Blazers,Portland Trail Blazers
Philadelphia 76ers,Philadelphia 76ers
Detroit Pistons,Detroit Pistons
New Orleans Hornets,New Orleans Hornets
Cleveland Cavaliers,Cleveland Cavaliers
Sacramento Kings,Sacramento Kings
Phoenix Suns,Phoenix Suns
Orlando Magic,Orlando Magic
Charlotte Bobcats,Charlotte Bobcats
League Average,League Average
Team,Team
San Antonio Spurs,San Antonio Spurs
Los Angeles Clippers,Los Angeles Clippers
Oklahoma City Thunder,Oklahoma City Thunder
Miami Heat,Miami Heat
Golden State Warriors,Golden State Warriors
Indiana Pacers,Indiana Pacers
Houston Rockets,Houston Rockets
Portland Trail Blazers,Portland Trail Blazers
Toronto Raptors,Toronto Raptors
Phoenix Suns,Phoenix Suns
Minnesota Timberwolves,Minnesota Timberwolves
Dallas Mavericks,Dallas Mavericks
Chicago Bulls,Chicago Bulls
Memphis Grizzlies,Memphis Grizzlies
Washington Wizards,Washington Wizards
Charlotte Bobcats,Charlotte Bobcats
Atlanta Hawks,Atlanta Hawks
New York Knicks,New York Knicks
Brooklyn Nets,Brooklyn Nets
Denver Nuggets,Denver Nuggets
New Orleans Pelicans,New Orleans Pelicans
Sacramento Kings,Sacramento Kings
Cleveland Cavaliers,Cleveland Cavaliers
Detroit Pistons,Detroit Pistons
Boston Celtics,Boston Celtics
Orlando Magic,Orlando Magic
Los Angeles Lakers,Los Angeles Lakers
Utah Jazz,Utah Jazz
Milwaukee Bucks,Milwaukee Bucks
Philadelphia 76ers,Philadelphia 76ers
League Average,League Average
Team,Team
Golden State Warriors,Golden State Warriors
Los Angeles Clippers,Los Angeles Clippers
San Antonio Spurs,San Antonio Spurs
Atlanta Hawks,Atlanta Hawks
Cleveland Cavaliers,Cleveland Cavaliers
Portland Trail Blazers,Portland Trail Blazers
Houston Rockets,Houston Rockets
Memphis Grizzlies,Memphis Grizzlies
Toronto Raptors,Toronto Raptors
Chicago Bulls,Chicago Bulls
Dallas Mavericks,Dallas Mavericks
Oklahoma City Thunder,Oklahoma City Thunder
New Orleans Pelicans,New Orleans Pelicans
Washington Wizards,Washington Wizards
Milwaukee Bucks,Milwaukee Bucks
Indiana Pacers,Indiana Pacers
Utah Jazz,Utah Jazz
Boston Celtics,Boston Celtics
Phoenix Suns,Phoenix Suns
Detroit Pistons,Detroit Pistons
Miami Heat,Miami Heat
Brooklyn Nets,Brooklyn Nets
Charlotte Hornets,Charlotte Hornets
Denver Nuggets,Denver Nuggets
Sacramento Kings,Sacramento Kings
Orlando Magic,Orlando Magic
Los Angeles Lakers,Los Angeles Lakers
Minnesota Timberwolves,Minnesota Timberwolves
Philadelphia 76ers,Philadelphia 76ers
New York Knicks,New York Knicks
League Average,League Average
Team,Team
San Antonio Spurs,San Antonio Spurs
Golden State Warriors,Golden State Warriors
Oklahoma City Thunder,Oklahoma City Thunder
Cleveland Cavaliers,Cleveland Cavaliers
Toronto Raptors,Toronto Raptors
Los Angeles Clippers,Los Angeles Clippers
Atlanta Hawks,Atlanta Hawks
Boston Celtics,Boston Celtics
Charlotte Hornets,Charlotte Hornets
Utah Jazz,Utah Jazz
Miami Heat,Miami Heat
Indiana Pacers,Indiana Pacers
Portland Trail Blazers,Portland Trail Blazers
Detroit Pistons,Detroit Pistons
Houston Rockets,Houston Rockets
