Unnamed: 0,team,seasonStartYear,payroll,inflationAdjPayroll,team_standardized
0,Portland,2000,87395140.0,150209627.0,Portland Trail Blazers
1,New York,2000,74007738.0,127200145.0,New York Knicks
2,Miami,2000,73472329.0,126279916.0,Miami Heat
3,Brooklyn,2000,68977578.0,118554603.0,Brooklyn Nets
4,Washington,2000,59085969.0,101553484.0,Washington Wizards
5,LA Lakers,2000,58968213.0,101351093.0,Los Angeles Lakers
6,Milwaukee,2000,57819318.0,99376441.0,Milwaukee Bucks
7,San Antonio,2000,57215938.0,98339386.0,San Antonio Spurs
8,Indiana,2000,55086140.0,94678814.0,Indiana Pacers
9,Phoenix,2000,53906347.0,92651057.0,Phoenix Suns
10,Utah,2000,53893860.0,92629595.0,Utah Jazz
11,Dallas,2000,52274842.0,89846921.0,Dallas Mavericks
12,Denver,2000,52189220.0,89699760.0,Denver Nuggets
13,Oklahoma City,2000,51538658.0,88581612.0,Oklahoma City Thunder
14,Boston,2000,51478707.0,88478570.0,Boston Celtics
15,Philadelphia,2000,51085458.0,87802677.0,Philadelphia 76ers
16,Cleveland,2000,49780549.0,85559875.0,Cleveland Cavaliers
17,Houston,2000,49283309.0,84705250.0,Houston Rockets
18,Memphis,2000,48899840.0,84046166.0,Memphis Grizzlies
19,Minnesota,2000,47488500.0,81620437.0,Minnesota Timberwolves
20,Charlotte,2000,46441558.0,79821014.0,Charlotte Hornets
21,Sacramento,2000,46266289.0,79519774.0,Sacramento Kings
22,Golden State,2000,42363018.0,72811059.0,Golden State Warriors
23,Detroit,2000,40475338.0,69566624.0,Detroit Pistons
24,Atlanta,2000,39297129.0,67541590.0,Atlanta Hawks
25,Toronto,2000,38313749.0,65851414.0,Toronto Raptors
26,Orlando,2000,37459860.0,64383801.0,Orlando Magic
27,Chicago,2000,29691907.0,51032701.0,Chicago Bulls
28,LA Clippers,2000,29606189.0,50885371.0,Los Angeles Clippers
0,New York,2001,85993039.0,143149897.0,New York Knicks
1,Portland,2001,84292850.0,140319647.0,Portland Trail Blazers
2,Brooklyn,2001,75193712.0,125172596.0,Brooklyn Nets
3,Philadelphia,2001,58073366.0,96672896.0,Philadelphia 76ers
4,Dallas,2001,57960080.0,96484312.0,Dallas Mavericks
