team,wins,losses,season,payroll,inflationAdjPayroll,revenue
Team,,,2000,,,
San Antonio Spurs,58.0,24.0,2000,57215938.0,98339386.0,82000000.0
Sacramento Kings,55.0,27.0,2000,46266289.0,79519774.0,87000000.0
Utah Jazz,53.0,29.0,2000,53893860.0,92629595.0,88000000.0
Philadelphia 76ers,56.0,26.0,2000,51085458.0,87802677.0,103000000.0
Portland Trail Blazers,50.0,32.0,2000,87395140.0,150209627.0,103000000.0
Dallas Mavericks,53.0,29.0,2000,52274842.0,89846921.0,68000000.0
Milwaukee Bucks,52.0,30.0,2000,57819318.0,99376441.0,65000000.0
Los Angeles Lakers,56.0,26.0,2000,58968213.0,101351093.0,144000000.0
New York Knicks,48.0,34.0,2000,74007738.0,127200145.0,157000000.0
Miami Heat,50.0,32.0,2000,73472329.0,126279916.0,99000000.0
Toronto Raptors,47.0,35.0,2000,38313749.0,65851414.0,75000000.0
Houston Rockets,45.0,37.0,2000,49283309.0,84705250.0,81000000.0
Charlotte Hornets,46.0,36.0,2000,46441558.0,79821014.0,65000000.0
Phoenix Suns,51.0,31.0,2000,53906347.0,92651057.0,102000000.0
Minnesota Timberwolves,47.0,35.0,2000,47488500.0,81620437.0,77000000.0
Orlando Magic,43.0,39.0,2000,37459860.0,64383801.0,76000000.0
Seattle SuperSonics,44.0,38.0,2000,,,80000000.0
Indiana Pacers,41.0,41.0,2000,55086140.0,94678814.0,89000000.0
Detroit Pistons,32.0,50.0,2000,40475338.0,69566624.0,92000000.0
Boston Celtics,36.0,46.0,2000,51478707.0,88478570.0,81000000.0
Denver Nuggets,40.0,42.0,2000,52189220.0,89699760.0,72000000.0
Los Angeles Clippers,31.0,51.0,2000,29606189.0,50885371.0,68000000.0
Cleveland Cavaliers,30.0,52.0,2000,49780549.0,85559875.0,75000000.0
New Jersey Nets,26.0,56.0,2000,,,73000000.0
Atlanta Hawks,25.0,57.0,2000,39297129.0,67541590.0,76000000.0
Vancouver Grizzlies,23.0,59.0,2000,,,
Washington Wizards,19.0,63.0,2000,59085969.0,101553484.0,81000000.0
Golden State Warriors,17.0,65.0,2000,42363018.0,72811059.0,69000000.0
Chicago Bulls,15.0,67.0,2000,29691907.0,51032701.0,117000000.0
League Average,,,2000,,,
Team,,,2001,,,
Sacramento Kings,61.0,21.0,2001,54921012.0,91425274.0,87000000.0
Los Angeles Lakers,58.0,24.0,2001,54262017.0,90328263.0,144000000.0
San Antonio Spurs,58.0,24.0,2001,45844814.0,76316410.0,82000000.0
New Jersey Nets,52.0,30.0,2001,,,73000000.0
Dallas Mavericks,57.0,25.0,2001,57960080.0,96484312.0,68000000.0
Minnesota Timberwolves,50.0,32.0,2001,55093782.0,91712876.0,77000000.0
Portland Trail Blazers,49.0,33.0,2001,84292850.0,140319647.0,103000000.0
Seattle SuperSonics,45.0,37.0,2001,,,80000000.0
Boston Celtics,49.0,33.0,2001,47515677.0,79097845.0,81000000.0
Detroit Pistons,50.0,32.0,2001,42417677.0,70611365.0,92000000.0
Philadelphia 76ers,43.0,39.0,2001,58073366.0,96672896.0,103000000.0
Orlando Magic,44.0,38.0,2001,45984001.0,76548112.0,76000000.0
Utah Jazz,44.0,38.0,2001,52642362.0,87632078.0,88000000.0
Charlotte Hornets,44.0,38.0,2001,49999445.0,83232496.0,65000000.0
Indiana Pacers,42.0,40.0,2001,53398621.0,88890997.0,89000000.0
Milwaukee Bucks,41.0,41.0,2001,56224266.0,93594760.0,65000000.0
Los Angeles Clippers,39.0,43.0,2001,33849932.0,56348909.0,68000000.0
Toronto Raptors,42.0,40.0,2001,52657161.0,87656710.0,75000000.0
Phoenix Suns,36.0,46.0,2001,56596369.0,94214187.0,102000000.0
Washington Wizards,37.0,45.0,2001,54776087.0,91184019.0,81000000.0
Miami Heat,36.0,46.0,2001,53351186.0,88812030.0,99000000.0
Cleveland Cavaliers,29.0,53.0,2001,45649974.0,75992069.0,75000000.0
New York Knicks,30.0,52.0,2001,85993039.0,143149897.0,157000000.0
Atlanta Hawks,33.0,49.0,2001,51525207.0,85772381.0,76000000.0
Houston Rockets,28.0,54.0,2001,49168169.0,81848694.0,81000000.0
Golden State Warriors,21.0,61.0,2001,47681152.0,79373305.0,69000000.0
Denver Nuggets,27.0,55.0,2001,54460475.0,90658629.0,72000000.0
Memphis Grizzlies,23.0,59.0,2001,50920631.0,84765963.0,53000000.0
Chicago Bulls,21.0,61.0,2001,42592857.0,70902978.0,117000000.0
League Average,,,2001,,,
Team,,,2002,,,
Dallas Mavericks,60.0,22.0,2002,72940316.0,120139056.0,122000000.0
Sacramento Kings,59.0,23.0,2002,70416596.0,115982270.0,93000000.0
San Antonio Spurs,60.0,22.0,2002,53182559.0,87596308.0,113000000.0
New Jersey Nets,49.0,33.0,2002,,,98000000.0
Detroit Pistons,50.0,32.0,2002,47777888.0,78694343.0,118000000.0
Indiana Pacers,48.0,34.0,2002,53472323.0,88073576.0,103000000.0
Portland Trail Blazers,50.0,32.0,2002,105595657.0,173925253.0,83000000.0
Utah Jazz,47.0,35.0,2002,50934629.0,83893772.0,96000000.0
Los Angeles Lakers,50.0,32.0,2002,63151182.0,104015499.0,159000000.0
Philadelphia 76ers,48.0,34.0,2002,64822487.0,106768285.0,118000000.0
Minnesota Timberwolves,51.0,31.0,2002,59518801.0,98032650.0,94000000.0
New Orleans Hornets,47.0,35.0,2002,,,92000000.0
Houston Rockets,43.0,39.0,2002,50181239.0,82652870.0,
Phoenix Suns,44.0,38.0,2002,55225080.0,90960518.0,115000000.0
Orlando Magic,42.0,40.0,2002,50435346.0,83071410.0,88000000.0
Milwaukee Bucks,42.0,40.0,2002,57995152.0,95523069.0,85000000.0
Seattle SuperSonics,40.0,42.0,2002,,,86000000.0
Boston Celtics,44.0,38.0,2002,52548195.0,86551455.0,113000000.0
Washington Wizards,37.0,45.0,2002,46691190.0,76904456.0,106000000.0
Golden State Warriors,38.0,44.0,2002,47737715.0,78628174.0,87000000.0
New York Knicks,37.0,45.0,2002,93452379.0,153924217.0,170000000.0
Memphis Grizzlies,28.0,54.0,2002,61009172.0,100487421.0,84000000.0
Atlanta Hawks,35.0,47.0,2002,55711549.0,91761773.0,89000000.0
Los Angeles Clippers,27.0,55.0,2002,42955777.0,70751903.0,90000000.0
Chicago Bulls,30.0,52.0,2002,44531095.0,73346593.0,129000000.0
Miami Heat,25.0,57.0,2002,57378326.0,94507103.0,95000000.0
Toronto Raptors,24.0,58.0,2002,55408207.0,91262143.0,106000000.0
Denver Nuggets,17.0,65.0,2002,49109209.0,80887143.0,92000000.0
Cleveland Cavaliers,17.0,65.0,2002,49610448.0,81712729.0,103000000.0
League Average,,,2002,,,
Team,,,2003,,,
San Antonio Spurs,57.0,25.0,2003,46464064.0,74947262.0,105000000.0
Detroit Pistons,54.0,28.0,2003,53442834.0,86204128.0,102000000.0
Indiana Pacers,61.0,21.0,2003,58156236.0,93806919.0,94000000.0
Minnesota Timberwolves,58.0,24.0,2003,71272042.0,114962924.0,85000000.0
Sacramento Kings,55.0,27.0,2003,68372826.0,110286439.0,102000000.0
Dallas Mavericks,52.0,30.0,2003,79536723.0,128293984.0,117000000.0
Los Angeles Lakers,56.0,26.0,2003,64123085.0,103431541.0,149000000.0
New Jersey Nets,47.0,35.0,2003,,,94000000.0
Memphis Grizzlies,50.0,32.0,2003,57378323.0,92552133.0,63000000.0
Houston Rockets,45.0,37.0,2003,55401430.0,89363372.0,82000000.0
Denver Nuggets,43.0,39.0,2003,39398646.0,63550630.0,75000000.0
Milwaukee Bucks,41.0,41.0,2003,53229826.0,85860542.0,70000000.0
Miami Heat,42.0,40.0,2003,47349374.0,76375279.0,91000000.0
New Orleans Hornets,41.0,41.0,2003,,,80000000.0
Seattle SuperSonics,37.0,45.0,2003,,,70000000.0
Golden State Warriors,37.0,45.0,2003,53376708.0,86097462.0,70000000.0
Portland Trail Blazers,41.0,41.0,2003,82956768.0,133810569.0,
Utah Jazz,42.0,40.0,2003,34747674.0,56048537.0,85000000.0
Boston Celtics,36.0,46.0,2003,60185915.0,97080824.0,97000000.0
