Unnamed: 0,Team,Season,Wins,Losses,payroll,inflationAdjPayroll,revenue,Superteam
0,Team,2000,,,,,,0
1,San Antonio Spurs,2000,58.0,24.0,,,82000000.0,0
2,Sacramento Kings,2000,55.0,27.0,,,87000000.0,0
3,Utah Jazz,2000,53.0,29.0,,,88000000.0,0
4,Philadelphia 76ers,2000,56.0,26.0,,,103000000.0,0
5,Portland Trail Blazers,2000,50.0,32.0,,,103000000.0,0
6,Dallas Mavericks,2000,53.0,29.0,,,68000000.0,0
7,Milwaukee Bucks,2000,52.0,30.0,,,65000000.0,0
8,Los Angeles Lakers,2000,56.0,26.0,58968213.0,101351093.0,144000000.0,0
9,New York Knicks,2000,48.0,34.0,,,157000000.0,0
10,Miami Heat,2000,50.0,32.0,,,99000000.0,0
11,Toronto Raptors,2000,47.0,35.0,,,75000000.0,0
12,Houston Rockets,2000,45.0,37.0,,,81000000.0,0
13,Charlotte Hornets,2000,46.0,36.0,,,65000000.0,0
14,Phoenix Suns,2000,51.0,31.0,,,102000000.0,0
15,Minnesota Timberwolves,2000,47.0,35.0,,,77000000.0,0
16,Orlando Magic,2000,43.0,39.0,,,76000000.0,0
17,Seattle SuperSonics,2000,44.0,38.0,,,80000000.0,0
18,Indiana Pacers,2000,41.0,41.0,,,89000000.0,0
19,Detroit Pistons,2000,32.0,50.0,,,92000000.0,0
20,Boston Celtics,2000,36.0,46.0,,,81000000.0,0
21,Denver Nuggets,2000,40.0,42.0,,,72000000.0,0
22,Los Angeles Clippers,2000,31.0,51.0,29606189.0,50885371.0,68000000.0,0
23,Cleveland Cavaliers,2000,30.0,52.0,,,75000000.0,0
24,New Jersey Nets,2000,26.0,56.0,,,73000000.0,0
25,Atlanta Hawks,2000,25.0,57.0,,,76000000.0,0
26,Vancouver Grizzlies,2000,23.0,59.0,,,,0
27,Washington Wizards,2000,19.0,63.0,,,81000000.0,0
28,Golden State Warriors,2000,17.0,65.0,,,69000000.0,0
29,Chicago Bulls,2000,15.0,67.0,,,117000000.0,0
30,League Average,2000,,,,,,0
31,Team,2001,,,,,,0
32,Sacramento Kings,2001,61.0,21.0,,,87000000.0,0
33,Los Angeles Lakers,2001,58.0,24.0,54262017.0,90328263.0,144000000.0,0
34,San Antonio Spurs,2001,58.0,24.0,,,82000000.0,0
35,New Jersey Nets,2001,52.0,30.0,,,73000000.0,0
36,Dallas Mavericks,2001,57.0,25.0,,,68000000.0,0
37,Minnesota Timberwolves,2001,50.0,32.0,,,77000000.0,0
38,Portland Trail Blazers,2001,49.0,33.0,,,103000000.0,0
39,Seattle SuperSonics,2001,45.0,37.0,,,80000000.0,0
40,Boston Celtics,2001,49.0,33.0,,,81000000.0,0
41,Detroit Pistons,2001,50.0,32.0,,,92000000.0,0
42,Philadelphia 76ers,2001,43.0,39.0,,,103000000.0,0
43,Orlando Magic,2001,44.0,38.0,,,76000000.0,0
