team,wins,losses,season,payroll,inflationAdjPayroll,revenue,superteam,cost_per_win,revenue_per_win
Team,,,2000,,,,No,,
San Antonio Spurs,58.0,24.0,2000,57215938.0,98339386.0,82000000.0,No,986481.6896551724,1413793.103448276
Sacramento Kings,55.0,27.0,2000,46266289.0,79519774.0,87000000.0,No,841205.2545454545,1581818.1818181819
Utah Jazz,53.0,29.0,2000,53893860.0,92629595.0,88000000.0,No,1016865.283018868,1660377.358490566
Philadelphia 76ers,56.0,26.0,2000,51085458.0,87802677.0,103000000.0,No,912240.3214285715,1839285.7142857143
Portland Trail Blazers,50.0,32.0,2000,87395140.0,150209627.0,103000000.0,No,1747902.8,2060000.0
Dallas Mavericks,53.0,29.0,2000,52274842.0,89846921.0,68000000.0,No,986317.7735849057,1283018.8679245282
Milwaukee Bucks,52.0,30.0,2000,57819318.0,99376441.0,65000000.0,No,1111909.9615384615,1250000.0
Los Angeles Lakers,56.0,26.0,2000,58968213.0,101351093.0,144000000.0,No,1053003.8035714286,2571428.5714285714
New York Knicks,48.0,34.0,2000,74007738.0,127200145.0,157000000.0,No,1541827.875,3270833.3333333335
Miami Heat,50.0,32.0,2000,73472329.0,126279916.0,99000000.0,No,1469446.58,1980000.0
Toronto Raptors,47.0,35.0,2000,38313749.0,65851414.0,75000000.0,No,815186.1489361703,1595744.680851064
Houston Rockets,45.0,37.0,2000,49283309.0,84705250.0,81000000.0,No,1095184.6444444444,1800000.0
Charlotte Hornets,46.0,36.0,2000,46441558.0,79821014.0,65000000.0,No,1009599.0869565217,1413043.4782608696
Phoenix Suns,51.0,31.0,2000,53906347.0,92651057.0,102000000.0,No,1056987.1960784313,2000000.0
Minnesota Timberwolves,47.0,35.0,2000,47488500.0,81620437.0,77000000.0,No,1010393.6170212766,1638297.8723404256
Orlando Magic,43.0,39.0,2000,37459860.0,64383801.0,76000000.0,No,871159.5348837209,1767441.8604651163
Seattle SuperSonics,44.0,38.0,2000,,,80000000.0,No,,1818181.8181818181
Indiana Pacers,41.0,41.0,2000,55086140.0,94678814.0,89000000.0,No,1343564.3902439023,2170731.7073170734
Detroit Pistons,32.0,50.0,2000,40475338.0,69566624.0,92000000.0,No,1264854.3125,2875000.0
