team,team_standardized
Portland,Portland
New York,New York
Miami,Miami Heat
Brooklyn,Brooklyn Nets
Washington,Washington
LA Lakers,Los Angeles Lakers
Milwaukee,Milwaukee
San Antonio,San Antonio
Indiana,Indiana
Phoenix,Phoenix Suns
Utah,Utah
Dallas,Dallas
Denver,Denver
Oklahoma City,Oklahoma City
Boston,Boston Celtics
Philadelphia,Philadelphia
Cleveland,Cleveland Cavaliers
Houston,Houston
Memphis,Memphis
Minnesota,Minnesota
Charlotte,Charlotte
Sacramento,Sacramento
Golden State,Golden State Warriors
Detroit,Detroit
Atlanta,Atlanta
Toronto,Toronto
Orlando,Orlando
Chicago,Chicago
LA Clippers,Los Angeles Clippers
New York,New York
Portland,Portland
Brooklyn,Brooklyn Nets
Philadelphia,Philadelphia
Dallas,Dallas
Phoenix,Phoenix Suns
Milwaukee,Milwaukee
Minnesota,Minnesota
Sacramento,Sacramento
Washington,Washington
Denver,Denver
LA Lakers,Los Angeles Lakers
Indiana,Indiana
Miami,Miami Heat
Toronto,Toronto
Utah,Utah
Atlanta,Atlanta
Memphis,Memphis
Charlotte,Charlotte
Houston,Houston
Golden State,Golden State Warriors
Boston,Boston Celtics
Orlando,Orlando
San Antonio,San Antonio
Cleveland,Cleveland Cavaliers
Oklahoma City,Oklahoma City
Chicago,Chicago
Detroit,Detroit
LA Clippers,Los Angeles Clippers
Portland,Portland
New York,New York
Dallas,Dallas
Sacramento,Sacramento
Philadelphia,Philadelphia
LA Lakers,Los Angeles Lakers
Memphis,Memphis
Brooklyn,Brooklyn Nets
Minnesota,Minnesota
Milwaukee,Milwaukee
Miami,Miami Heat
Atlanta,Atlanta
Toronto,Toronto
Phoenix,Phoenix Suns
Indiana,Indiana
San Antonio,San Antonio
Oklahoma City,Oklahoma City
Boston,Boston Celtics
Utah,Utah
Orlando,Orlando
Houston,Houston
Cleveland,Cleveland Cavaliers
Denver,Denver
Detroit,Detroit
Golden State,Golden State Warriors
Washington,Washington
Chicago,Chicago
New Orleans,New Orleans
LA Clippers,Los Angeles Clippers
New York,New York
Portland,Portland
Dallas,Dallas
Minnesota,Minnesota
Sacramento,Sacramento
Phoenix,Phoenix Suns
Atlanta,Atlanta
LA Lakers,Los Angeles Lakers
Brooklyn,Brooklyn Nets
Toronto,Toronto
