team,season,payroll,revenue,profit_margin,profitable
Los Angeles Lakers,2003,64123085.0,149000000.0,84876915.0,True
Los Angeles Lakers,2004,65059098.0,156000000.0,90940902.0,True
Boston Celtics,2007,74509455.0,151000000.0,76490545.0,True
Boston Celtics,2008,79188973.0,151000000.0,71811027.0,True
Boston Celtics,2009,83552174.0,151000000.0,67447826.0,True
Miami Heat,2010,66205855.0,,,False
Boston Celtics,2010,82045867.0,151000000.0,68954133.0,True
Boston Celtics,2011,79820530.0,146000000.0,66179470.0,True
Miami Heat,2011,75469639.0,158000000.0,82530361.0,True
Miami Heat,2012,80427933.0,150000000.0,69572067.0,True
Los Angeles Lakers,2012,100131988.0,197000000.0,96868012.0,True
Boston Celtics,2012,75508399.0,143000000.0,67491601.0,True
Miami Heat,2013,80841617.0,188000000.0,107158383.0,True
Brooklyn Nets,2013,102589967.0,190000000.0,87410033.0,True
Los Angeles Lakers,2013,77423614.0,295000000.0,217576386.0,True
Cleveland Cavaliers,2014,82592827.0,149000000.0,66407173.0,True
Miami Heat,2014,75813041.0,188000000.0,112186959.0,True
Brooklyn Nets,2014,87817289.0,212000000.0,124182711.0,True
Cleveland Cavaliers,2015,108300458.0,191000000.0,82699542.0,True
Golden State Warriors,2016,101584835.0,305000000.0,203415165.0,True
Cleveland Cavaliers,2016,128522489.0,233000000.0,104477511.0,True
Golden State Warriors,2017,137610134.0,359000000.0,221389866.0,True
Oklahoma City Thunder,2017,134534640.0,222000000.0,87465360.0,True
Cleveland Cavaliers,2017,137722926.0,280000000.0,142277074.0,True
Golden State Warriors,2018,146291276.0,401000000.0,254708724.0,True
Oklahoma City Thunder,2018,144916427.0,241000000.0,96083573.0,True
Golden State Warriors,2019,129254928.0,440000000.0,310745072.0,True
Brooklyn Nets,2021,174811922.0,212000000.0,37188078.0,True
Los Angeles Lakers,2021,164409293.0,316000000.0,151590707.0,True
Brooklyn Nets,2022,159566723.0,367000000.0,207433277.0,True
Los Angeles Lakers,2022,169391473.0,516000000.0,346608527.0,True
Los Angeles Clippers,2023,201366679.0,353000000.0,151633321.0,True
Phoenix Suns,2023,193838882.0,369000000.0,175161118.0,True
Los Angeles Lakers,2023,169876920.0,522000000.0,352123080.0,True
Los Angeles Clippers,2024,174124752.0,351000000.0,176875248.0,True
Phoenix Suns,2024,220708856.0,377000000.0,156291144.0,True
