team,seasonStartYear,revenue
New York Knicks,2000,$157M
Los Angeles Lakers,2000,$144M
Chicago Bulls,2000,$117M
Portland Trail Blazers,2000,$103M
Philadelphia 76ers,2000,$103M
Phoenix Suns,2000,$102M
Miami Heat,2000,$99M
Houston Rockets,2000,$81M
Indiana Pacers,2000,$89M
Detroit Pistons,2000,$92M
Utah Jazz,2000,$88M
San Antonio Spurs,2000,$82M
Boston Celtics,2000,$81M
Washington Wizards,2000,$81M
Dallas Mavericks,2000,$68M
Sacramento Kings,2000,$87M
Cleveland Cavaliers,2000,$75M
Seattle SuperSonics,2000,$80M
Atlanta Hawks,2000,$76M
Denver Nuggets,2000,$72M
Minnesota Timberwolves,2000,$77M
Orlando Magic,2000,$76M
Toronto Raptors,2000,$75M
Los Angeles Clippers,2000,$68M
New Jersey Nets,2000,$73M
Golden State Warriors,2000,$69M
Memphis Grizzlies,2000,$53M
Milwaukee Bucks,2000,$65M
Charlotte Hornets,2000,$65M
New York Knicks,2001,$157M
Los Angeles Lakers,2001,$144M
Chicago Bulls,2001,$117M
Portland Trail Blazers,2001,$103M
Philadelphia 76ers,2001,$103M
Phoenix Suns,2001,$102M
Miami Heat,2001,$99M
Houston Rockets,2001,$81M
Indiana Pacers,2001,$89M
Detroit Pistons,2001,$92M
Utah Jazz,2001,$88M
San Antonio Spurs,2001,$82M
Boston Celtics,2001,$81M
Washington Wizards,2001,$81M
Dallas Mavericks,2001,$68M
Sacramento Kings,2001,$87M
Cleveland Cavaliers,2001,$75M
Seattle SuperSonics,2001,$80M
Atlanta Hawks,2001,$76M
Denver Nuggets,2001,$72M
Minnesota Timberwolves,2001,$77M
Orlando Magic,2001,$76M
Toronto Raptors,2001,$75M
Los Angeles Clippers,2001,$68M
New Jersey Nets,2001,$73M
Golden State Warriors,2001,$69M
Memphis Grizzlies,2001,$53M
Milwaukee Bucks,2001,$65M
Charlotte Hornets,2001,$65M
Los Angeles Lakers,2002,$159M
New York Knicks,2002,$170M
Chicago Bulls,2002,$129M
Dallas Mavericks,2002,$122M
Philadelphia 76ers,2002,$118M
Boston Celtics,2002,$113M
Detroit Pistons,2002,$118M
Phoenix Suns,2002,$115M
San Antonio Spurs,2002,$113M
Indiana Pacers,2002,$103M
Washington Wizards,2002,$106M
Cleveland Cavaliers,2002,$103M
Toronto Raptors,2002,$106M
New Jersey Nets,2002,$98M
Utah Jazz,2002,$96M
Miami Heat,2002,$95M
Minnesota Timberwolves,2002,$94M
Sacramento Kings,2002,$93M
Denver Nuggets,2002,$92M
New Orleans Hornets,2002,$92M
Los Angeles Clippers,2002,$90M
Atlanta Hawks,2002,$89M
Orlando Magic,2002,$88M
Golden State Warriors,2002,$87M
Seattle SuperSonics,2002,$86M
Milwaukee Bucks,2002,$85M
Memphis Grizzlies,2002,$84M
Portland Trail Blazers,2002,$83M
Charlotte Bobcats,2002,$82M
Los Angeles Lakers,2003,$149M
New York Knicks,2003,$160M
Chicago Bulls,2003,$119M
Dallas Mavericks,2003,$117M
Philadelphia 76ers,2003,$109M
Boston Celtics,2003,$97M
Detroit Pistons,2003,$102M
San Antonio Spurs,2003,$105M
Phoenix Suns,2003,$109M
Indiana Pacers,2003,$94M
Houston Rockets,2003,$82M
Sacramento Kings,2003,$102M
Washington Wizards,2003,$98M
Cleveland Cavaliers,2003,$72M
Toronto Raptors,2003,$96M
New Jersey Nets,2003,$94M
Utah Jazz,2003,$85M
Miami Heat,2003,$91M
Minnesota Timberwolves,2003,$85M
Memphis Grizzlies,2003,$63M
Denver Nuggets,2003,$75M
New Orleans Hornets,2003,$80M
Los Angeles Clippers,2003,$72M
Atlanta Hawks,2003,$78M
Orlando Magic,2003,$80M
Seattle SuperSonics,2003,$70M
Golden State Warriors,2003,$70M
Milwaukee Bucks,2003,$70M
New York Knicks,2004,$181M
Los Angeles Lakers,2004,$156M
Houston Rockets,2004,$141M
Chicago Bulls,2004,$136M
Dallas Mavericks,2004,$124M
Detroit Pistons,2004,$134M
Phoenix Suns,2004,$132M
Miami Heat,2004,$119M
Cleveland Cavaliers,2004,$102M
Boston Celtics,2004,$110M
Philadelphia 76ers,2004,$110M
San Antonio Spurs,2004,$121M
Sacramento Kings,2004,$119M
Indiana Pacers,2004,$108M
Washington Wizards,2004,$106M
Minnesota Timberwolves,2004,$101M
New Jersey Nets,2004,$87M
Utah Jazz,2004,$91M
Toronto Raptors,2004,$94M
Atlanta Hawks,2004,$87M
Los Angeles Clippers,2004,$83M
Orlando Magic,2004,$82M
Golden State Warriors,2004,$81M
Seattle SuperSonics,2004,$81M
Milwaukee Bucks,2004,$78M
Portland Trail Blazers,2004,$78M
Charlotte Bobcats,2004,$73M
Memphis Grizzlies,2004,$98M
New Orleans Hornets,2004,$78M
New York Knicks,2005,$185M
Los Angeles Lakers,2005,$168M
Chicago Bulls,2005,$161M
Detroit Pistons,2005,$154M
Houston Rockets,2005,$149M
Dallas Mavericks,2005,$140M
Cleveland Cavaliers,2005,$152M
Phoenix Suns,2005,$145M
Miami Heat,2005,$131M
San Antonio Spurs,2005,$131M
Boston Celtics,2005,$117M
Sacramento Kings,2005,$128M
Philadelphia 76ers,2005,$112M
Toronto Raptors,2005,$124M
Washington Wizards,2005,$112M
Utah Jazz,2005,$114M
New Jersey Nets,2005,$102M
Indiana Pacers,2005,$107M
Orlando Magic,2005,$92M
Denver Nuggets,2005,$104M
Golden State Warriors,2005,$103M
Minnesota Timberwolves,2005,$103M
Memphis Grizzlies,2005,$98M
Los Angeles Clippers,2005,$98M
Charlotte Bobcats,2005,$93M
Atlanta Hawks,2005,$95M
New Orleans Hornets,2005,$91M
Seattle SuperSonics,2005,$81M
Milwaukee Bucks,2005,$88M
Portland Trail Blazers,2005,$82M
New York Knicks,2006,$196M
Los Angeles Lakers,2006,$170M
Chicago Bulls,2006,$161M
Detroit Pistons,2006,$154M
Houston Rockets,2006,$149M
Dallas Mavericks,2006,$140M
Cleveland Cavaliers,2006,$152M
Phoenix Suns,2006,$145M
Miami Heat,2006,$131M
San Antonio Spurs,2006,$131M
Boston Celtics,2006,$117M
Sacramento Kings,2006,$128M
Philadelphia 76ers,2006,$112M
Toronto Raptors,2006,$124M
Washington Wizards,2006,$112M
Utah Jazz,2006,$114M
New Jersey Nets,2006,$102M
Indiana Pacers,2006,$107M
Orlando Magic,2006,$92M
Denver Nuggets,2006,$104M
Golden State Warriors,2006,$103M
Minnesota Timberwolves,2006,$103M
Memphis Grizzlies,2006,$98M
Los Angeles Clippers,2006,$98M
Charlotte Bobcats,2006,$93M
Atlanta Hawks,2006,$95M
New Orleans Hornets,2006,$91M
Seattle SuperSonics,2006,$81M
Milwaukee Bucks,2006,$88M
Portland Trail Blazers,2006,$82M
New York Knicks,2007,$226M
Los Angeles Lakers,2007,$214M
Chicago Bulls,2007,$169M
Houston Rockets,2007,$153M
Phoenix Suns,2007,$147M
Detroit Pistons,2007,$147M
Dallas Mavericks,2007,$146M
Boston Celtics,2007,$151M
San Antonio Spurs,2007,$135M
Toronto Raptors,2007,$138M
Utah Jazz,2007,$121M
Oklahoma City Thunder,2007,$118M
Denver Nuggets,2007,$113M
Orlando Magic,2007,$108M
Atlanta Hawks,2007,$105M
Washington Wizards,2007,$107M
Cleveland Cavaliers,2007,$161M
Philadelphia 76ers,2007,$110M
Charlotte Bobcats,2007,$98M
Milwaukee Bucks,2007,$92M
Portland Trail Blazers,2007,$127M
Golden State Warriors,2007,$119M
Sacramento Kings,2007,$103M
New Jersey Nets,2007,$89M
Los Angeles Clippers,2007,$102M
Minnesota Timberwolves,2007,$95M
Memphis Grizzlies,2007,$92M
New York Knicks,2008,$226M
Los Angeles Lakers,2008,$214M
Chicago Bulls,2008,$169M
Houston Rockets,2008,$153M
Phoenix Suns,2008,$147M
Detroit Pistons,2008,$147M
Dallas Mavericks,2008,$146M
Boston Celtics,2008,$151M
San Antonio Spurs,2008,$135M
Toronto Raptors,2008,$138M
Utah Jazz,2008,$121M
Oklahoma City Thunder,2008,$118M
Denver Nuggets,2008,$113M
Orlando Magic,2008,$108M
Atlanta Hawks,2008,$105M
Washington Wizards,2008,$107M
Cleveland Cavaliers,2008,$161M
Philadelphia 76ers,2008,$110M
Charlotte Bobcats,2008,$98M
Milwaukee Bucks,2008,$92M
Portland Trail Blazers,2008,$127M
Golden State Warriors,2008,$119M
Sacramento Kings,2008,$103M
New Jersey Nets,2008,$89M
Los Angeles Clippers,2008,$102M
Minnesota Timberwolves,2008,$95M
Memphis Grizzlies,2008,$92M
New York Knicks,2009,$226M
Los Angeles Lakers,2009,$214M
Chicago Bulls,2009,$169M
Philadelphia 76ers,2009,$110M
Phoenix Suns,2009,$147M
Detroit Pistons,2009,$147M
Dallas Mavericks,2009,$146M
Houston Rockets,2009,$153M
Boston Celtics,2009,$151M
San Antonio Spurs,2009,$131M
Toronto Raptors,2009,$138M
Orlando Magic,2009,$108M
Washington Wizards,2009,$107M
Utah Jazz,2009,$121M
Cleveland Cavaliers,2009,$161M
Indiana Pacers,2009,$95M
Oklahoma City Thunder,2009,$118M
Denver Nuggets,2009,$113M
Charlotte Bobcats,2009,$98M
Milwaukee Bucks,2009,$92M
Portland Trail Blazers,2009,$127M
Golden State Warriors,2009,$119M
Atlanta Hawks,2009,$105M
Sacramento Kings,2009,$103M
New Jersey Nets,2009,$89M
Minnesota Timberwolves,2009,$95M
Memphis Grizzlies,2009,$92M
Los Angeles Clippers,2009,$102M
New York Knicks,2010,$226M
Los Angeles Lakers,2010,$214M
Chicago Bulls,2010,$169M
Boston Celtics,2010,$151M
Houston Rockets,2010,$153M
Dallas Mavericks,2010,$146M
Phoenix Suns,2010,$147M
Detroit Pistons,2010,$147M
Portland Trail Blazers,2010,$127M
Toronto Raptors,2010,$138M
Orlando Magic,2010,$108M
Golden State Warriors,2010,$119M
