Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Season
1.0,Rajon Rondo,23.0,BOS,PG,24.0,24.0,975.0,17.8,0.504,0.074,0.35,4.9,11.7,8.4,41.1,2.5,0.3,16.1,22.0,0.9,1.8,2.7,0.131,2.7,1.2,3.9,1.5,,2009-10
2.0,Paul Pierce,32.0,BOS,SF,24.0,24.0,930.0,15.8,0.566,0.304,0.423,2.7,15.7,9.4,15.9,1.4,1.3,13.8,23.7,0.9,1.6,2.5,0.131,2.1,0.9,3.0,1.2,,2009-10
3.0,Ray Allen,34.0,BOS,SG,24.0,24.0,925.0,13.1,0.57,0.477,0.263,1.6,8.7,5.3,12.0,1.3,0.3,9.6,19.4,1.1,1.3,2.4,0.126,1.5,0.4,1.9,0.9,,2009-10
4.0,Kobe Bryant,31.0,LAL,SG,23.0,23.0,923.0,24.7,0.567,0.256,0.358,3.3,14.0,8.7,26.0,1.8,1.4,11.8,33.2,2.7,0.9,3.6,0.19,6.1,0.9,7.0,2.1,Finals MVP-1,2009-10
5.0,Pau Gasol,29.0,LAL,C,23.0,23.0,913.0,24.0,0.599,0.01,0.516,11.7,20.6,16.2,14.9,0.5,4.2,10.5,21.0,3.2,1.1,4.3,0.224,4.6,1.2,5.9,1.8,,2009-10
6.0,Metta World Peace,30.0,LAL,SF,23.0,23.0,839.0,10.8,0.477,0.461,0.15,4.6,8.0,6.3,8.9,2.2,1.1,8.5,16.1,0.4,0.7,1.1,0.064,-1.0,0.7,-0.3,0.4,,2009-10
7.0,Kevin Garnett,33.0,BOS,PF,23.0,23.0,766.0,17.6,0.53,0.007,0.186,5.3,21.4,13.6,14.7,1.8,2.3,8.7,22.2,0.7,1.6,2.4,0.148,1.6,2.2,3.8,1.1,,2009-10
8.0,Derek Fisher,35.0,LAL,PG,23.0,23.0,754.0,10.8,0.571,0.41,0.306,1.4,7.5,4.5,12.7,2.0,0.1,14.8,14.8,0.8,0.5,1.4,0.087,-2.0,1.3,-0.7,0.2,,2009-10
9.0,Lamar Odom,30.0,LAL,PF,23.0,0.0,667.0,15.4,0.514,0.211,0.258,10.5,23.9,17.2,10.7,1.2,2.5,11.5,16.7,0.8,0.9,1.7,0.125,-0.1,0.7,0.6,0.4,,2009-10
10.0,Amar'e Stoudemire,27.0,PHO,PF,16.0,16.0,584.0,21.2,0.589,0.017,0.594,9.7,12.2,10.9,5.3,1.0,3.2,11.7,26.8,1.5,0.3,1.8,0.145,2.1,-1.0,1.2,0.5,,2009-10
11.0,Kendrick Perkins,25.0,BOS,C,23.0,23.0,575.0,9.5,0.545,0.01,0.573,9.0,21.1,15.2,6.1,0.8,4.9,26.3,13.6,-0.3,1.2,0.9,0.076,-3.7,1.7,-2.0,0.0,,2009-10
12.0,Andrew Bynum,22.0,LAL,C,23.0,23.0,561.0,17.3,0.57,0.0,0.376,12.2,20.6,16.4,3.4,0.6,5.1,10.8,15.8,1.0,0.7,1.7,0.15,0.3,-0.2,0.1,0.3,,2009-10
13.0,Steve Nash,35.0,PHO,PG,16.0,16.0,539.0,22.4,0.634,0.262,0.393,1.4,10.1,5.8,49.1,0.4,0.1,21.1,24.2,2.0,0.0,2.0,0.175,6.6,-2.0,4.6,0.9,,2009-10
14.0,Jason Richardson,29.0,PHO,SG,16.0,16.0,533.0,22.3,0.636,0.453,0.26,4.1,15.3,9.8,5.5,1.7,0.6,3.9,22.3,2.0,0.3,2.3,0.207,6.1,0.4,6.5,1.1,,2009-10
15.0,Rashard Lewis,30.0,ORL,PF,14.0,14.0,512.0,14.2,0.584,0.524,0.175,3.8,15.0,9.6,11.4,1.6,1.6,14.0,17.3,0.6,1.0,1.6,0.153,1.7,1.8,3.5,0.7,,2009-10
16.0,Dwight Howard,24.0,ORL,C,14.0,14.0,497.0,22.2,0.606,0.0,1.129,9.9,28.3,19.4,7.6,1.2,8.1,19.6,25.9,0.5,1.5,1.9,0.184,0.4,3.3,3.8,0.7,,2009-10
17.0,Glen Davis,24.0,BOS,PF,24.0,1.0,483.0,14.5,0.551,0.024,0.637,10.2,17.2,13.8,3.5,2.1,1.6,12.2,17.9,0.5,1.0,1.5,0.147,-0.8,1.3,0.5,0.3,,2009-10
18.0,Vince Carter,33.0,ORL,SG,14.0,14.0,480.0,13.4,0.506,0.277,0.375,2.4,12.5,7.6,12.7,1.4,0.5,9.3,24.4,0.3,0.8,1.2,0.117,-0.8,-0.1,-0.9,0.1,,2009-10
19.0,Jameer Nelson,27.0,ORL,PG,14.0,14.0,479.0,20.9,0.612,0.442,0.326,2.4,10.3,6.5,28.7,1.6,0.0,13.9,26.1,1.4,0.8,2.2,0.223,4.6,0.6,5.2,0.9,,2009-10
20.0,LeBron James,25.0,CLE,SF,11.0,11.0,460.0,28.6,0.607,0.237,0.569,4.0,22.1,13.3,36.8,2.1,3.0,13.7,30.9,1.5,0.8,2.3,0.242,8.5,3.0,11.5,1.6,,2009-10
